user,seed,tier,model,floor,accept_threshold,TAR,FAR,FRR,EER,bypass_windmouse,bypass_sapiagent,bypass_dmtg
user12,0,T0,T0_DistanceProfile,0.0,0.6316890194986989,0.40461215932914046,0.19536423841059603,0.5953878406708595,0.3096745027124774,0.0,0.0,0.0
user12,0,T0,T0_DistanceProfile,0.02,0.6316890194986989,0.40461215932914046,0.19536423841059603,0.5953878406708595,0.3096745027124774,0.0,0.0,0.0
user12,0,T0,T0_DistanceProfile,0.05,0.6316890194986989,0.40461215932914046,0.19536423841059603,0.5953878406708595,0.3096745027124774,0.0,0.0,0.0
user12,0,T0,T0_DistanceProfile,0.08,0.6316890194986989,0.40461215932914046,0.19536423841059603,0.5953878406708595,0.3096745027124774,0.0,0.0,0.0
user12,0,T0,T0_DistanceProfile,0.1,0.6316890194986989,0.40461215932914046,0.19536423841059603,0.5953878406708595,0.3096745027124774,0.0,0.0,0.0
user12,0,T0,T0_DistanceProfile,0.15,0.6316890194986989,0.40461215932914046,0.19536423841059603,0.5953878406708595,0.3096745027124774,0.0,0.0,0.0
user12,0,T0,T0_DistanceProfile,0.2,0.6316890194986989,0.40461215932914046,0.19536423841059603,0.5953878406708595,0.3096745027124774,0.0,0.0,0.0
user12,0,T1,T1_LogReg,0.0,0.5675743417540559,0.7672955974842768,0.32450331125827814,0.23270440251572322,0.12398282097649188,0.15,0.0,0.9
user12,0,T1,T1_LogReg,0.02,0.5675743417540559,0.7672955974842768,0.32450331125827814,0.23270440251572322,0.12398282097649188,0.15,0.0,0.9
user12,0,T1,T1_LogReg,0.05,0.5675743417540559,0.7672955974842768,0.32450331125827814,0.23270440251572322,0.12398282097649188,0.15,0.0,0.9
user12,0,T1,T1_LogReg,0.08,0.5675743417540559,0.7672955974842768,0.32450331125827814,0.23270440251572322,0.12398282097649188,0.15,0.0,0.9
user12,0,T1,T1_LogReg,0.1,0.5675743417540559,0.7672955974842768,0.32450331125827814,0.23270440251572322,0.12398282097649188,0.15,0.0,0.9
user12,0,T1,T1_LogReg,0.15,0.5675743417540559,0.7672955974842768,0.32450331125827814,0.23270440251572322,0.12398282097649188,0.15,0.0,0.9
user12,0,T1,T1_LogReg,0.2,0.5675743417540559,0.7672955974842768,0.32450331125827814,0.23270440251572322,0.12398282097649188,0.15,0.0,0.9
user12,0,T1,T1_SVM_RBF,0.0,0.3722052426664812,0.7882599580712788,0.33112582781456956,0.2117400419287212,0.11991410488245931,0.0,0.0,0.0
user12,0,T1,T1_SVM_RBF,0.02,0.3722052426664812,0.7882599580712788,0.33112582781456956,0.2117400419287212,0.11991410488245931,0.0,0.0,0.0
user12,0,T1,T1_SVM_RBF,0.05,0.3722052426664812,0.7882599580712788,0.33112582781456956,0.2117400419287212,0.11991410488245931,0.0,0.0,0.0
user12,0,T1,T1_SVM_RBF,0.08,0.3722052426664812,0.7882599580712788,0.33112582781456956,0.2117400419287212,0.11991410488245931,0.0,0.0,0.0
user12,0,T1,T1_SVM_RBF,0.1,0.3722052426664812,0.7882599580712788,0.33112582781456956,0.2117400419287212,0.11991410488245931,0.0,0.0,0.0
user12,0,T1,T1_SVM_RBF,0.15,0.3722052426664812,0.7882599580712788,0.33112582781456956,0.2117400419287212,0.11991410488245931,0.0,0.0,0.0
user12,0,T1,T1_SVM_RBF,0.2,0.3722052426664812,0.7882599580712788,0.33112582781456956,0.2117400419287212,0.11991410488245931,0.0,0.0,0.0
user12,0,T1,T1_kNN,0.0,0.6,0.6016771488469602,0.25496688741721857,0.3983228511530398,0.17495479204339962,0.15,0.05,0.85
user12,0,T1,T1_kNN,0.02,0.6,0.6016771488469602,0.25496688741721857,0.3983228511530398,0.17495479204339962,0.15,0.05,0.85
user12,0,T1,T1_kNN,0.05,0.6,0.6016771488469602,0.25496688741721857,0.3983228511530398,0.17495479204339962,0.15,0.05,0.85
user12,0,T1,T1_kNN,0.08,0.6,0.6016771488469602,0.25496688741721857,0.3983228511530398,0.17495479204339962,0.15,0.05,0.85
user12,0,T1,T1_kNN,0.1,0.6,0.6016771488469602,0.25496688741721857,0.3983228511530398,0.17495479204339962,0.15,0.05,0.85
user12,0,T1,T1_kNN,0.15,0.6,0.6016771488469602,0.25496688741721857,0.3983228511530398,0.17495479204339962,0.15,0.05,0.85
user12,0,T1,T1_kNN,0.2,0.6,0.6016771488469602,0.25496688741721857,0.3983228511530398,0.17495479204339962,0.15,0.05,0.85
user12,0,T1,T1_DecisionTree,0.0,1.0000000000000002,0.0,0.0,1.0,0.24061934900542495,0.0,0.0,0.0
user12,0,T1,T1_DecisionTree,0.02,1.0000000000000002,0.0,0.0,1.0,0.24061934900542495,0.0,0.0,0.0
user12,0,T1,T1_DecisionTree,0.05,1.0000000000000002,0.0,0.0,1.0,0.24061934900542495,0.0,0.0,0.0
user12,0,T1,T1_DecisionTree,0.08,1.0000000000000002,0.0,0.0,1.0,0.24061934900542495,0.0,0.0,0.0
user12,0,T1,T1_DecisionTree,0.1,1.0000000000000002,0.0,0.0,1.0,0.24061934900542495,0.0,0.0,0.0
user12,0,T1,T1_DecisionTree,0.15,1.0000000000000002,0.0,0.0,1.0,0.24061934900542495,0.0,0.0,0.0
user12,0,T1,T1_DecisionTree,0.2,1.0000000000000002,0.0,0.0,1.0,0.24061934900542495,0.0,0.0,0.0
user12,0,T2,T2_RandomForest,0.0,0.38,0.7714884696016772,0.3344370860927152,0.22851153039832284,0.127373417721519,0.0,0.0,0.0
