TAR,FAR,FRR,F1,Precision,Recall,AUC,EER,test_EER_threshold,decision_threshold,user,tier,model,threshold_policy,calibration_EER,calibration_FAR_at_threshold,calibration_TAR_at_threshold,seed
0.8238993710691824,0.7251655629139073,0.1761006289308176,0.721763085399449,0.6421568627450981,0.8238993710691824,0.6335054909964319,0.40054076943368455,0.5916056751548316,0.5,user12,T0,T0_DistanceProfile,default_0.5,,,,0
0.6834381551362684,0.5298013245033113,0.3165618448637317,0.6770508826583593,0.6707818930041153,0.6834381551362684,0.6335054909964319,0.40054076943368455,0.5916056751548316,0.5649848153384982,user12,T0,T0_DistanceProfile,calibration_EER,0.3096745027124774,,,0
0.40461215932914046,0.19536423841059603,0.5953878406708596,0.5294924554183813,0.7658730158730159,0.40461215932914046,0.6335054909964319,0.40054076943368455,0.5916056751548316,0.6316890194986989,user12,T0,T0_DistanceProfile,calibration_FAR<=0.10,,0.09968354430379747,0.40867992766726946,0
0.40461215932914046,0.19536423841059603,0.5953878406708596,0.5294924554183813,0.7658730158730159,0.40461215932914046,0.6335054909964319,0.40054076943368455,0.5916056751548316,0.6316890194986989,user12,T0,T0_DistanceProfile,calibration_FAR<=0.10_floor_0.05,,0.09968354430379747,0.40867992766726946,0
0.8113207547169812,0.37748344370860926,0.18867924528301888,0.7914110429447853,0.7724550898203593,0.8113207547169812,0.7980271287156206,0.280141474724756,0.6306380209278768,0.5,user12,T1,T1_LogReg,default_0.5,,,,0
0.8364779874213837,0.40728476821192056,0.16352201257861634,0.7987987987987988,0.764367816091954,0.8364779874213837,0.7980271287156206,0.280141474724756,0.6306380209278768,0.4483756299615137,user12,T1,T1_LogReg,calibration_EER,0.12398282097649188,,,0
0.7672955974842768,0.32450331125827814,0.23270440251572327,0.7778958554729012,0.7887931034482759,0.7672955974842768,0.7980271287156206,0.280141474724756,0.6306380209278768,0.5675743417540559,user12,T1,T1_LogReg,calibration_FAR<=0.10,,0.09968354430379747,0.8318264014466547,0
0.7672955974842768,0.32450331125827814,0.23270440251572327,0.7778958554729012,0.7887931034482759,0.7672955974842768,0.7980271287156206,0.280141474724756,0.6306380209278768,0.5675743417540559,user12,T1,T1_LogReg,calibration_FAR<=0.10_floor_0.05,,0.09968354430379747,0.8318264014466547,0
0.710691823899371,0.2582781456953642,0.2893081761006289,0.7583892617449665,0.8129496402877698,0.710691823899371,0.8034001138461966,0.2747337803879101,0.47120281099968925,0.5,user12,T1,T1_SVM_RBF,default_0.5,,,,0
0.8553459119496856,0.4139072847682119,0.14465408805031446,0.807920792079208,0.7654784240150094,0.8553459119496856,0.8034001138461966,0.2747337803879101,0.47120281099968925,0.26283179590815975,user12,T1,T1_SVM_RBF,calibration_EER,0.11991410488245931,,,0
0.7882599580712788,0.33112582781456956,0.21174004192872117,0.789087093389297,0.7899159663865546,0.7882599580712788,0.8034001138461966,0.2747337803879101,0.47120281099968925,0.3722052426664812,user12,T1,T1_SVM_RBF,calibration_FAR<=0.10,,0.09968354430379747,0.8354430379746836,0
0.7882599580712788,0.33112582781456956,0.21174004192872117,0.789087093389297,0.7899159663865546,0.7882599580712788,0.8034001138461966,0.2747337803879101,0.47120281099968925,0.3722052426664812,user12,T1,T1_SVM_RBF,calibration_FAR<=0.10_floor_0.05,,0.09968354430379747,0.8354430379746836,0
0.6016771488469602,0.25496688741721857,0.39832285115303984,0.6825208085612366,0.7884615384615384,0.6016771488469602,0.7149020506199064,0.32664486928512915,0.6,0.5,user12,T1,T1_kNN,default_0.5,,,,0
0.7945492662473794,0.4900662251655629,0.20545073375262055,0.7549800796812749,0.7191650853889943,0.7945492662473794,0.7149020506199064,0.32664486928512915,0.6,0.4,user12,T1,T1_kNN,calibration_EER,0.17495479204339962,,,0
0.6016771488469602,0.25496688741721857,0.39832285115303984,0.6825208085612366,0.7884615384615384,0.6016771488469602,0.7149020506199064,0.32664486928512915,0.6,0.6,user12,T1,T1_kNN,calibration_FAR<=0.10,,0.0759493670886076,0.6781193490054249,0
0.6016771488469602,0.25496688741721857,0.39832285115303984,0.6825208085612366,0.7884615384615384,0.6016771488469602,0.7149020506199064,0.32664486928512915,0.6,0.6,user12,T1,T1_kNN,calibration_FAR<=0.10_floor_0.05,,0.0759493670886076,0.6781193490054249,0
0.5618448637316562,0.2847682119205298,0.4381551362683438,0.6450060168471721,0.7570621468926554,0.5618448637316562,0.6385383259055631,0.3614616740944368,1.0,0.5,user12,T1,T1_DecisionTree,default_0.5,,,,0
0.5618448637316562,0.2847682119205298,0.4381551362683438,0.6450060168471721,0.7570621468926554,0.5618448637316562,0.6385383259055631,0.3614616740944368,1.0,1.0,user12,T1,T1_DecisionTree,calibration_EER,0.24061934900542495,,,0
0.0,0.0,1.0,0.0,0.0,0.0,0.6385383259055631,0.3614616740944368,1.0,1.0000000000000002,user12,T1,T1_DecisionTree,calibration_FAR<=0.10,,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.6385383259055631,0.3614616740944368,1.0,1.0000000000000002,user12,T1,T1_DecisionTree,calibration_FAR<=0.10_floor_0.05,,0.0,0.0,0
0.6142557651991615,0.18543046357615894,0.3857442348008386,0.7094430992736077,0.839541547277937,0.6142557651991615,0.7849556416343871,0.2838935399225291,0.42,0.5,user12,T2,T2_RandomForest,default_0.5,,,,0
0.8343815513626834,0.4139072847682119,0.16561844863731656,0.796,0.7609942638623327,0.8343815513626834,0.7849556416343871,0.2838935399225291,0.42,0.32,user12,T2,T2_RandomForest,calibration_EER,0.127373417721519,,,0
0.7714884696016772,0.3344370860927152,0.22851153039832284,0.7780126849894292,0.7846481876332623,0.7714884696016772,0.7849556416343871,0.2838935399225291,0.42,0.38,user12,T2,T2_RandomForest,calibration_FAR<=0.10,,0.09968354430379747,0.7992766726943942,0
0.7714884696016772,0.3344370860927152,0.22851153039832284,0.7780126849894292,0.7846481876332623,0.7714884696016772,0.7849556416343871,0.2838935399225291,0.42,0.38,user12,T2,T2_RandomForest,calibration_FAR<=0.10_floor_0.05,,0.09968354430379747,0.7992766726943942,0
0.6037735849056604,0.2119205298013245,0.39622641509433965,0.6948130277442702,0.8181818181818182,0.6037735849056604,0.7855456981409749,0.28598997598122927,0.43,0.5,user12,T2,T2_ExtraTrees,default_0.5,,,,0
0.8238993710691824,0.40397350993377484,0.1761006289308176,0.7923387096774194,0.7631067961165049,0.8238993710691824,0.7855456981409749,0.28598997598122927,0.43,0.3466666666666667,user12,T2,T2_ExtraTrees,calibration_EER,0.1300858951175407,,,0
0.7672955974842768,0.3344370860927152,0.23270440251572327,0.7754237288135594,0.7837259100642399,0.7672955974842768,0.7855456981409749,0.28598997598122927,0.43,0.39666666666666667,user12,T2,T2_ExtraTrees,calibration_FAR<=0.10,,0.09651898734177215,0.8245931283905967,0
0.7672955974842768,0.3344370860927152,0.23270440251572327,0.7754237288135594,0.7837259100642399,0.7672955974842768,0.7855456981409749,0.28598997598122927,0.43,0.39666666666666667,user12,T2,T2_ExtraTrees,calibration_FAR<=0.10_floor_0.05,,0.09651898734177215,0.8245931283905967,0
0.639412997903564,0.20860927152317882,0.36058700209643607,0.7218934911242604,0.8288043478260869,0.639412997903564,0.7921473891735044,0.27953406361503325,0.41215104203706615,0.5,user12,T2,T2_GradientBoosting,default_0.5,,,,0
