user,tier,model,threshold_policy,attack_type,seed,accept_threshold,bypass_rate_window,bypass_rate_session
user16,T2,T2_GradientBoosting,calibration_FAR<=0.10,windmouse,0,0.5942717493533847,0.049586776859504134,0.0
user16,T2,T2_GradientBoosting,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.5942717493533847,0.049586776859504134,0.0
user16,T2,T2_XGBoost,calibration_FAR<=0.10,windmouse,0,0.641242504119873,0.08264462809917356,0.05
user16,T2,T2_XGBoost,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.641242504119873,0.08264462809917356,0.05
user16,T3,T3_1D_CNN,calibration_FAR<=0.10,windmouse,0,0.755393385887146,0.04132231404958678,0.0
user16,T3,T3_1D_CNN,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.755393385887146,0.04132231404958678,0.0
user20,T0,T0_DistanceProfile,calibration_FAR<=0.10,windmouse,0,0.6346799050154064,0.0,0.0
user20,T0,T0_DistanceProfile,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.6346799050154064,0.0,0.0
user20,T1,T1_LogReg,calibration_FAR<=0.10,windmouse,0,0.7200643369966492,0.049586776859504134,0.0
user20,T1,T1_LogReg,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.7200643369966492,0.049586776859504134,0.0
user20,T1,T1_SVM_RBF,calibration_FAR<=0.10,windmouse,0,0.45127279067840176,0.0,0.0
user20,T1,T1_SVM_RBF,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.45127279067840176,0.0,0.0
user20,T1,T1_kNN,calibration_FAR<=0.10,windmouse,0,0.6,0.2396694214876033,0.15
user20,T1,T1_kNN,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.6,0.2396694214876033,0.15
user20,T1,T1_DecisionTree,calibration_FAR<=0.10,windmouse,0,1.0000000000000002,0.0,0.0
user20,T1,T1_DecisionTree,calibration_FAR<=0.10_floor_0.05,windmouse,0,1.0000000000000002,0.0,0.0
user20,T2,T2_RandomForest,calibration_FAR<=0.10,windmouse,0,0.38333333333333336,0.0,0.0
user20,T2,T2_RandomForest,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.38333333333333336,0.0,0.0
user20,T2,T2_ExtraTrees,calibration_FAR<=0.10,windmouse,0,0.39,0.08264462809917356,0.0
user20,T2,T2_ExtraTrees,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.39,0.08264462809917356,0.0
user20,T2,T2_GradientBoosting,calibration_FAR<=0.10,windmouse,0,0.36721849120850514,0.4380165289256198,0.5
user20,T2,T2_GradientBoosting,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.36721849120850514,0.4380165289256198,0.5
user20,T2,T2_XGBoost,calibration_FAR<=0.10,windmouse,0,0.33636221289634705,0.19008264462809918,0.0
