user,attack_type,n_attack_sessions,distance_to_target_knn,distance_to_negative_knn,distance_to_target_mahal,distance_to_negative_mahal,blind_spot_margin_knn,bypass_rate,seed_variation
user12,dmtg,60,314.771531897689,313.86512681959823,1947.753080695843,457.5240444685772,-1.5013499755621655,0.0,0.0
user12,sapiagent,60,115.83771824343907,112.45010910241415,681.6115124338185,188.44690688311798,-3.2494385333261278,0.06666666666666667,0.07637626158259733
user12,windmouse,60,1344.2691633942832,1344.2285586055787,8319.867970946887,1956.3645815252275,-0.09856999589544557,0.0,0.0
user15,dmtg,60,314.78167528454173,313.86512681959823,1199.1111162606433,475.4121226709268,-1.3930806467829537,0.11666666666666665,0.16072751268321592
user15,sapiagent,60,117.92771594601331,112.45010910241415,417.85793807142977,198.89100035215336,-5.363693901994495,0.0,0.0
user15,windmouse,60,1344.2504600857724,1344.2288476401923,5122.31087824954,2037.3674406731022,-0.062423919731713795,0.5333333333333333,0.41932485418030413
user16,dmtg,60,314.74823441957415,313.86512681959823,1326.0498006193175,462.40328656265746,-0.9387120544485956,0.0,0.0
user16,sapiagent,60,116.39151390435055,112.45010910241415,471.998229435468,187.96522815072814,-3.858870162289115,0.21666666666666667,0.37527767497325676
user16,windmouse,60,1344.2591334013719,1344.2285586055787,5663.928042048432,1976.7188394354253,-0.08406520799570671,0.0,0.0
user20,dmtg,60,313.94162113558184,314.671397198387,248.35601625454393,1174.3282155988638,-0.048982659652892835,0.08333333333333333,0.14433756729740646
user20,sapiagent,60,116.76351606717671,112.45010910241416,147.57719630200307,217.79102753208122,-3.838316764113266,0.15,0.15
user20,windmouse,60,1344.24881130409,1344.2308605534677,1060.9631936909955,5017.7211484474465,0.00046675681369379163,0.09999999999999999,0.17320508075688773
user21,dmtg,60,314.7417017667369,313.86512681959823,1276.6833226898611,462.7091922463567,-0.6147664379876252,0.0,0.0
user21,sapiagent,60,112.4606311390848,114.21949039697294,330.923103715917,211.16222458964012,1.5421684182364217,0.3833333333333333,0.5392896562454479
user21,windmouse,60,1344.2658997609883,1344.2285586055787,5453.7352695226255,1978.8886430324228,-0.10346621213079743,0.0,0.0
user23,dmtg,60,314.68713582590954,313.8775663481764,1757.12397461187,462.07232606794923,-0.17884914328694101,0.03333333333333333,0.05773502691896258
user23,sapiagent,60,116.05058175473368,112.45010910241415,613.4217578165744,188.78856772122757,-3.4374590197823522,0.0,0.0
user23,windmouse,60,1344.2364423752672,1344.23078187089,7506.56574483126,1974.4827210407163,-0.019601899496933584,0.3666666666666667,0.5057996968497839
user29,dmtg,60,314.78332367613154,313.86512681959823,1019.9851659077295,470.6898458178739,-1.6605695017195394,0.03333333333333333,0.05773502691896258
user29,sapiagent,60,116.5362995408465,112.45010910241415,370.1482988759641,194.67658315864702,-3.9412140164168648,0.5666666666666668,0.2753785273643051
user29,windmouse,60,1344.268920872933,1344.2285586055787,4356.816117878459,2009.936520188688,-0.09269842422787633,0.21666666666666667,0.20207259421636903
user35,dmtg,60,314.7046572089763,313.8712978706471,1364.8260208761972,460.0539759626952,-0.31285314056303903,0.0,0.0
user35,sapiagent,60,114.39236358888826,112.4606311390848,406.79232773762277,204.10364299257145,-1.8225909247048122,0.0,0.0
user35,windmouse,60,1344.2530292014885,1344.2286210593559,5830.6901713460575,1966.3164038281543,-0.05111024025933375,0.0,0.0
user7,dmtg,60,314.8682431955759,313.86512681959823,895.8292027542095,445.47094314347953,-1.7402836303733409,0.0,0.0
user7,sapiagent,60,116.00712233848327,112.45010910241415,289.002049418134,178.01164393222794,-3.4216205054374598,0.0,0.0
user7,windmouse,60,1344.2785093453551,1344.2285586055787,3826.3132196628676,1903.1634896092482,-0.10297772825759921,0.016666666666666666,0.02886751345948129
user9,dmtg,60,314.8327786990966,313.86512681959823,1612.2061926304445,453.0292764348229,-1.6768292710450794,0.0,0.0
user9,sapiagent,60,117.21707525181196,112.45010910241415,581.0885171599073,172.97459024394868,-4.470475047078402,0.0,0.0
user9,windmouse,60,1344.2490257978284,1344.2294672796938,6885.371087211079,1936.6089464531121,-0.034651383131063085,0.48333333333333334,0.5008326400438906
