user,tier,model,threshold_policy,seed,accept_threshold,n_genuine_sessions,n_imposter_sessions,TAR_window,TAR_session,FAR_window,FAR_session
user12,T2,T2_GradientBoosting,calibration_FAR<=0.10_floor_0.05,0,0.36151154533744784,56,49,0.7547169811320755,0.9464285714285714,0.3211920529801324,0.3469387755102041
user12,T2,T2_XGBoost,calibration_FAR<=0.10,0,0.2673075795173645,56,49,0.8259958071278826,0.9821428571428571,0.3443708609271523,0.3673469387755102
user12,T2,T2_XGBoost,calibration_FAR<=0.10_floor_0.05,0,0.2673075795173645,56,49,0.8259958071278826,0.9821428571428571,0.3443708609271523,0.3673469387755102
user12,T3,T3_1D_CNN,calibration_FAR<=0.10,0,0.5158219933509827,56,49,0.7924528301886793,0.9642857142857143,0.31125827814569534,0.2653061224489796
user12,T3,T3_1D_CNN,calibration_FAR<=0.10_floor_0.05,0,0.5158219933509827,56,49,0.7924528301886793,0.9642857142857143,0.31125827814569534,0.2653061224489796
user15,T0,T0_DistanceProfile,calibration_FAR<=0.10,0,0.6455099028719449,45,70,0.29473684210526313,0.3333333333333333,0.09933774834437085,0.02857142857142857
user15,T0,T0_DistanceProfile,calibration_FAR<=0.10_floor_0.05,0,0.6455099028719449,45,70,0.29473684210526313,0.3333333333333333,0.09933774834437085,0.02857142857142857
user15,T1,T1_LogReg,calibration_FAR<=0.10,0,0.5189544175110958,45,70,0.8807017543859649,0.9555555555555556,0.19205298013245034,0.11428571428571428
user15,T1,T1_LogReg,calibration_FAR<=0.10_floor_0.05,0,0.5189544175110958,45,70,0.8807017543859649,0.9555555555555556,0.19205298013245034,0.11428571428571428
user15,T1,T1_SVM_RBF,calibration_FAR<=0.10,0,0.26025685159212164,45,70,0.8771929824561403,0.9777777777777777,0.22958057395143489,0.2
user15,T1,T1_SVM_RBF,calibration_FAR<=0.10_floor_0.05,0,0.26025685159212164,45,70,0.8771929824561403,0.9777777777777777,0.22958057395143489,0.2
user15,T1,T1_kNN,calibration_FAR<=0.10,0,0.6,45,70,0.5508771929824562,0.6,0.13024282560706402,0.08571428571428572
user15,T1,T1_kNN,calibration_FAR<=0.10_floor_0.05,0,0.6,45,70,0.5508771929824562,0.6,0.13024282560706402,0.08571428571428572
user15,T1,T1_DecisionTree,calibration_FAR<=0.10,0,1.0000000000000002,45,70,0.0,0.0,0.0,0.0
user15,T1,T1_DecisionTree,calibration_FAR<=0.10_floor_0.05,0,1.0000000000000002,45,70,0.0,0.0,0.0,0.0
user15,T2,T2_RandomForest,calibration_FAR<=0.10,0,0.31666666666666665,45,70,0.7789473684210526,0.8888888888888888,0.1545253863134658,0.1
user15,T2,T2_RandomForest,calibration_FAR<=0.10_floor_0.05,0,0.31666666666666665,45,70,0.7789473684210526,0.8888888888888888,0.1545253863134658,0.1
user15,T2,T2_ExtraTrees,calibration_FAR<=0.10,0,0.3233333333333333,45,70,0.8350877192982457,0.9333333333333333,0.17439293598233996,0.15714285714285714
user15,T2,T2_ExtraTrees,calibration_FAR<=0.10_floor_0.05,0,0.3233333333333333,45,70,0.8350877192982457,0.9333333333333333,0.17439293598233996,0.15714285714285714
user15,T2,T2_GradientBoosting,calibration_FAR<=0.10,0,0.3328106747974735,45,70,0.7543859649122807,0.9333333333333333,0.10154525386313466,0.05714285714285714
user15,T2,T2_GradientBoosting,calibration_FAR<=0.10_floor_0.05,0,0.3328106747974735,45,70,0.7543859649122807,0.9333333333333333,0.10154525386313466,0.05714285714285714
user15,T2,T2_XGBoost,calibration_FAR<=0.10,0,0.23760046064853668,45,70,0.8245614035087719,0.9555555555555556,0.1434878587196468,0.08571428571428572
user15,T2,T2_XGBoost,calibration_FAR<=0.10_floor_0.05,0,0.23760046064853668,45,70,0.8245614035087719,0.9555555555555556,0.1434878587196468,0.08571428571428572
user15,T3,T3_1D_CNN,calibration_FAR<=0.10,0,0.44417673349380493,45,70,0.8736842105263158,0.9777777777777777,0.20750551876379691,0.14285714285714285
user15,T3,T3_1D_CNN,calibration_FAR<=0.10_floor_0.05,0,0.44417673349380493,45,70,0.8736842105263158,0.9777777777777777,0.20750551876379691,0.14285714285714285
user16,T0,T0_DistanceProfile,calibration_FAR<=0.10,0,0.6587211901215018,68,38,0.228,0.1323529411764706,0.11587982832618025,0.0
user16,T0,T0_DistanceProfile,calibration_FAR<=0.10_floor_0.05,0,0.6587211901215018,68,38,0.228,0.1323529411764706,0.11587982832618025,0.0
user16,T1,T1_LogReg,calibration_FAR<=0.10,0,0.7613009475898803,68,38,0.488,0.4852941176470588,0.19313304721030042,0.10526315789473684
user16,T1,T1_LogReg,calibration_FAR<=0.10_floor_0.05,0,0.7613009475898803,68,38,0.488,0.4852941176470588,0.19313304721030042,0.10526315789473684
user16,T1,T1_SVM_RBF,calibration_FAR<=0.10,0,0.6460273509309706,68,38,0.576,0.6617647058823529,0.15450643776824036,0.05263157894736842
user16,T1,T1_SVM_RBF,calibration_FAR<=0.10_floor_0.05,0,0.6460273509309706,68,38,0.576,0.6617647058823529,0.15450643776824036,0.05263157894736842
user16,T1,T1_kNN,calibration_FAR<=0.10,0,0.8,68,38,0.338,0.27941176470588236,0.12875536480686695,0.07894736842105263
user16,T1,T1_kNN,calibration_FAR<=0.10_floor_0.05,0,0.8,68,38,0.338,0.27941176470588236,0.12875536480686695,0.07894736842105263
user16,T1,T1_DecisionTree,calibration_FAR<=0.10,0,1.0000000000000002,68,38,0.0,0.0,0.0,0.0
user16,T1,T1_DecisionTree,calibration_FAR<=0.10_floor_0.05,0,1.0000000000000002,68,38,0.0,0.0,0.0,0.0
user16,T2,T2_RandomForest,calibration_FAR<=0.10,0,0.5566666666666666,68,38,0.57,0.6764705882352942,0.13304721030042918,0.05263157894736842
user16,T2,T2_RandomForest,calibration_FAR<=0.10_floor_0.05,0,0.5566666666666666,68,38,0.57,0.6764705882352942,0.13304721030042918,0.05263157894736842
user16,T2,T2_ExtraTrees,calibration_FAR<=0.10,0,0.5433333333333333,68,38,0.614,0.7352941176470589,0.12875536480686695,0.07894736842105263
user16,T2,T2_ExtraTrees,calibration_FAR<=0.10_floor_0.05,0,0.5433333333333333,68,38,0.614,0.7352941176470589,0.12875536480686695,0.07894736842105263
user16,T2,T2_GradientBoosting,calibration_FAR<=0.10,0,0.5942717493533847,68,38,0.582,0.7058823529411765,0.10300429184549356,0.07894736842105263
user16,T2,T2_GradientBoosting,calibration_FAR<=0.10_floor_0.05,0,0.5942717493533847,68,38,0.582,0.7058823529411765,0.10300429184549356,0.07894736842105263
user16,T2,T2_XGBoost,calibration_FAR<=0.10,0,0.641242504119873,68,38,0.662,0.8088235294117647,0.15879828326180256,0.10526315789473684
user16,T2,T2_XGBoost,calibration_FAR<=0.10_floor_0.05,0,0.641242504119873,68,38,0.662,0.8088235294117647,0.15879828326180256,0.10526315789473684
user16,T3,T3_1D_CNN,calibration_FAR<=0.10,0,0.755393385887146,68,38,0.61,0.7647058823529411,0.1459227467811159,0.05263157894736842
user16,T3,T3_1D_CNN,calibration_FAR<=0.10_floor_0.05,0,0.755393385887146,68,38,0.61,0.7647058823529411,0.1459227467811159,0.05263157894736842
user20,T0,T0_DistanceProfile,calibration_FAR<=0.10,0,0.6346799050154064,30,20,0.22466960352422907,0.1,0.19230769230769232,0.15789473684210525
user20,T0,T0_DistanceProfile,calibration_FAR<=0.10_floor_0.05,0,0.6346799050154064,30,20,0.22466960352422907,0.1,0.19230769230769232,0.15789473684210525
user20,T1,T1_LogReg,calibration_FAR<=0.10,0,0.7200643369966492,30,20,0.5506607929515418,0.5666666666666667,0.057692307692307696,0.05263157894736842
user20,T1,T1_LogReg,calibration_FAR<=0.10_floor_0.05,0,0.7200643369966492,30,20,0.5506607929515418,0.5666666666666667,0.057692307692307696,0.05263157894736842
user20,T1,T1_SVM_RBF,calibration_FAR<=0.10,0,0.45127279067840176,30,20,0.5330396475770925,0.6,0.125,0.05263157894736842
user20,T1,T1_SVM_RBF,calibration_FAR<=0.10_floor_0.05,0,0.45127279067840176,30,20,0.5330396475770925,0.6,0.125,0.05263157894736842
user20,T1,T1_kNN,calibration_FAR<=0.10,0,0.6,30,20,0.3392070484581498,0.36666666666666664,0.04807692307692308,0.0
user20,T1,T1_kNN,calibration_FAR<=0.10_floor_0.05,0,0.6,30,20,0.3392070484581498,0.36666666666666664,0.04807692307692308,0.0
user20,T1,T1_DecisionTree,calibration_FAR<=0.10,0,1.0000000000000002,30,20,0.0,0.0,0.0,0.0
user20,T1,T1_DecisionTree,calibration_FAR<=0.10_floor_0.05,0,1.0000000000000002,30,20,0.0,0.0,0.0,0.0
user20,T2,T2_RandomForest,calibration_FAR<=0.10,0,0.38333333333333336,30,20,0.5242290748898678,0.6,0.009615384615384616,0.0
user20,T2,T2_RandomForest,calibration_FAR<=0.10_floor_0.05,0,0.38333333333333336,30,20,0.5242290748898678,0.6,0.009615384615384616,0.0
user20,T2,T2_ExtraTrees,calibration_FAR<=0.10,0,0.39,30,20,0.4889867841409692,0.5333333333333333,0.0,0.0
user20,T2,T2_ExtraTrees,calibration_FAR<=0.10_floor_0.05,0,0.39,30,20,0.4889867841409692,0.5333333333333333,0.0,0.0
user20,T2,T2_GradientBoosting,calibration_FAR<=0.10,0,0.36721849120850514,30,20,0.6343612334801763,0.7333333333333333,0.038461538461538464,0.0
user20,T2,T2_GradientBoosting,calibration_FAR<=0.10_floor_0.05,0,0.36721849120850514,30,20,0.6343612334801763,0.7333333333333333,0.038461538461538464,0.0
user20,T2,T2_XGBoost,calibration_FAR<=0.10,0,0.33636221289634705,30,20,0.762114537444934,0.9,0.057692307692307696,0.0
user20,T2,T2_XGBoost,calibration_FAR<=0.10_floor_0.05,0,0.33636221289634705,30,20,0.762114537444934,0.9,0.057692307692307696,0.0
user20,T3,T3_1D_CNN,calibration_FAR<=0.10,0,0.5031062364578247,30,20,0.20704845814977973,0.13333333333333333,0.009615384615384616,0.0
user20,T3,T3_1D_CNN,calibration_FAR<=0.10_floor_0.05,0,0.5031062364578247,30,20,0.20704845814977973,0.13333333333333333,0.009615384615384616,0.0
user21,T0,T0_DistanceProfile,calibration_FAR<=0.10,0,0.6478493157571746,37,22,0.23170731707317074,0.2222222222222222,0.2556390977443609,0.22727272727272727
user21,T0,T0_DistanceProfile,calibration_FAR<=0.10_floor_0.05,0,0.6478493157571746,37,22,0.23170731707317074,0.2222222222222222,0.2556390977443609,0.22727272727272727
user21,T1,T1_LogReg,calibration_FAR<=0.10,0,0.45469142270588087,37,22,0.7682926829268293,0.9444444444444444,0.3082706766917293,0.3181818181818182
user21,T1,T1_LogReg,calibration_FAR<=0.10_floor_0.05,0,0.45469142270588087,37,22,0.7682926829268293,0.9444444444444444,0.3082706766917293,0.3181818181818182
user21,T1,T1_SVM_RBF,calibration_FAR<=0.10,0,0.12324012357629341,37,22,0.8089430894308943,0.9444444444444444,0.39097744360902253,0.4090909090909091
user21,T1,T1_SVM_RBF,calibration_FAR<=0.10_floor_0.05,0,0.12324012357629341,37,22,0.8089430894308943,0.9444444444444444,0.39097744360902253,0.4090909090909091
user21,T1,T1_kNN,calibration_FAR<=0.10,0,0.6,37,22,0.34959349593495936,0.3888888888888889,0.08270676691729323,0.045454545454545456
user21,T1,T1_kNN,calibration_FAR<=0.10_floor_0.05,0,0.6,37,22,0.34959349593495936,0.3888888888888889,0.08270676691729323,0.045454545454545456
user21,T1,T1_DecisionTree,calibration_FAR<=0.10,0,1.0,37,22,0.540650406504065,0.6944444444444444,0.18796992481203006,0.09090909090909091
user21,T1,T1_DecisionTree,calibration_FAR<=0.10_floor_0.05,0,1.0,37,22,0.540650406504065,0.6944444444444444,0.18796992481203006,0.09090909090909091
user21,T2,T2_RandomForest,calibration_FAR<=0.10,0,0.22,37,22,0.8577235772357723,1.0,0.45864661654135336,0.5454545454545454
user21,T2,T2_RandomForest,calibration_FAR<=0.10_floor_0.05,0,0.22,37,22,0.8577235772357723,1.0,0.45864661654135336,0.5454545454545454
user21,T2,T2_ExtraTrees,calibration_FAR<=0.10,0,0.25,37,22,0.7804878048780488,0.9444444444444444,0.39097744360902253,0.5
user21,T2,T2_ExtraTrees,calibration_FAR<=0.10_floor_0.05,0,0.25,37,22,0.7804878048780488,0.9444444444444444,0.39097744360902253,0.5
user21,T2,T2_GradientBoosting,calibration_FAR<=0.10,0,0.1370021086423507,37,22,0.8821138211382114,1.0,0.47368421052631576,0.5
user21,T2,T2_GradientBoosting,calibration_FAR<=0.10_floor_0.05,0,0.1370021086423507,37,22,0.8821138211382114,1.0,0.47368421052631576,0.5
user21,T2,T2_XGBoost,calibration_FAR<=0.10,0,0.08724819868803024,37,22,0.926829268292683,1.0,0.48120300751879697,0.5909090909090909
user21,T2,T2_XGBoost,calibration_FAR<=0.10_floor_0.05,0,0.08724819868803024,37,22,0.926829268292683,1.0,0.48120300751879697,0.5909090909090909
user21,T3,T3_1D_CNN,calibration_FAR<=0.10,0,0.5257570147514343,37,22,0.34146341463414637,0.3055555555555556,0.24812030075187969,0.22727272727272727
user21,T3,T3_1D_CNN,calibration_FAR<=0.10_floor_0.05,0,0.5257570147514343,37,22,0.34146341463414637,0.3055555555555556,0.24812030075187969,0.22727272727272727
user23,T0,T0_DistanceProfile,calibration_FAR<=0.10,0,0.6507205609319365,38,33,0.2708333333333333,0.21052631578947367,0.11336032388663968,0.0
user23,T0,T0_DistanceProfile,calibration_FAR<=0.10_floor_0.05,0,0.6507205609319365,38,33,0.2708333333333333,0.21052631578947367,0.11336032388663968,0.0
