source,curvature_raw,curvature_dist_ge_2px,n_steps_total,n_steps_kept
genuine,0.16364202734917843,0.07413664204809961,1214006,949528
windmouse,0.040296623476734086,0.02030660968349619,52497,51433
sapiagent,0.519448814687244,0.3446447178114058,92160,70220
dmtg,0.13271474138664657,0.08255524650795643,92160,85783
