user,dominant_attacker,tier,model,clean_AUC,clean_FAR,windmouse_bypass,sapiagent_bypass,dmtg_bypass,top_SHAP_feature_1,top_SHAP_feature_2,top_SHAP_feature_3,stable_across_seeds
user15,windmouse,T2,T2_RandomForest,0.895,0.18,0.367,0.0,0.133,curvature_std,curvature_p75,step_distance_p25,False
user21,sapiagent,T2,T2_RandomForest,0.782,0.378,0.0,0.5,0.0,curvature_p25,curvature_p90,curvature_p75,False
