user,tier,model,threshold_policy,attack_type,seed,accept_threshold,bypass_rate_window,bypass_rate_session
user23,T0,T0_DistanceProfile,calibration_FAR<=0.10,sapiagent,0,0.6946730119532017,0.0,0.0
user23,T1,T1_LogReg,calibration_FAR<=0.10,sapiagent,0,0.7547980218980502,0.09166666666666666,0.0
user23,T1,T1_SVM_RBF,calibration_FAR<=0.10,sapiagent,0,0.7541112568513179,0.0,0.0
user23,T1,T1_kNN,calibration_FAR<=0.10,sapiagent,0,1.0,0.5625,0.8
user23,T1,T1_DecisionTree,calibration_FAR<=0.10,sapiagent,0,1.000000001,0.0,0.0
user23,T2,T2_RandomForest,calibration_FAR<=0.10,sapiagent,0,0.71,0.0,0.0
user23,T2,T2_ExtraTrees,calibration_FAR<=0.10,sapiagent,0,0.7166666666666667,0.0,0.0
user23,T2,T2_GradientBoosting,calibration_FAR<=0.10,sapiagent,0,0.7738625701250986,0.020833333333333332,0.0
user23,T2,T2_XGBoost,calibration_FAR<=0.10,sapiagent,0,0.8400070667266846,0.020833333333333332,0.0
user23,T3,T3_1D_CNN,calibration_FAR<=0.10,sapiagent,0,0.7156016826629639,0.18333333333333332,0.0
user29,T0,T0_DistanceProfile,calibration_FAR<=0.10,sapiagent,0,0.6750473512591059,0.0,0.0
user29,T1,T1_LogReg,calibration_FAR<=0.10,sapiagent,0,0.5385304801452376,0.175,0.05
user29,T1,T1_SVM_RBF,calibration_FAR<=0.10,sapiagent,0,0.6638808266077283,0.0,0.0
user29,T1,T1_kNN,calibration_FAR<=0.10,sapiagent,0,0.8,0.0,0.0
user29,T1,T1_DecisionTree,calibration_FAR<=0.10,sapiagent,0,1.000000001,0.0,0.0
user29,T2,T2_RandomForest,calibration_FAR<=0.10,sapiagent,0,0.5266666666666666,0.0,0.0
user29,T2,T2_ExtraTrees,calibration_FAR<=0.10,sapiagent,0,0.5533333333333333,0.0,0.0
user29,T2,T2_GradientBoosting,calibration_FAR<=0.10,sapiagent,0,0.527243308935101,0.0,0.0
user29,T2,T2_XGBoost,calibration_FAR<=0.10,sapiagent,0,0.5266752243041992,0.0,0.0
user29,T3,T3_1D_CNN,calibration_FAR<=0.10,sapiagent,0,0.507790207862854,0.004166666666666667,0.0
user35,T0,T0_DistanceProfile,calibration_FAR<=0.10,sapiagent,0,0.6930064649952766,0.0,0.0
user35,T1,T1_LogReg,calibration_FAR<=0.10,sapiagent,0,0.7458110087921945,0.6791666666666667,1.0
user35,T1,T1_SVM_RBF,calibration_FAR<=0.10,sapiagent,0,0.780691443266721,0.0,0.0
user35,T1,T1_kNN,calibration_FAR<=0.10,sapiagent,0,1.0,0.4791666666666667,0.6
user35,T1,T1_DecisionTree,calibration_FAR<=0.10,sapiagent,0,1.000000001,0.0,0.0
user35,T2,T2_RandomForest,calibration_FAR<=0.10,sapiagent,0,0.74,0.0,0.0
user35,T2,T2_ExtraTrees,calibration_FAR<=0.10,sapiagent,0,0.74,0.23333333333333334,0.0
user35,T2,T2_GradientBoosting,calibration_FAR<=0.10,sapiagent,0,0.815003407634131,0.10416666666666667,0.0
user35,T2,T2_XGBoost,calibration_FAR<=0.10,sapiagent,0,0.8554753065109253,0.375,0.3
user35,T3,T3_1D_CNN,calibration_FAR<=0.10,sapiagent,0,0.7223923206329346,0.15833333333333333,0.0
user7,T0,T0_DistanceProfile,calibration_FAR<=0.10,sapiagent,0,0.6282407382074383,0.0,0.0
user7,T1,T1_LogReg,calibration_FAR<=0.10,sapiagent,0,0.5847730966620088,0.0,0.0
user7,T1,T1_SVM_RBF,calibration_FAR<=0.10,sapiagent,0,0.508975610573078,0.0,0.0
user7,T1,T1_kNN,calibration_FAR<=0.10,sapiagent,0,1.0,0.0,0.0
user7,T1,T1_DecisionTree,calibration_FAR<=0.10,sapiagent,0,1.000000001,0.0,0.0
user7,T2,T2_RandomForest,calibration_FAR<=0.10,sapiagent,0,0.55,0.0,0.0
user7,T2,T2_ExtraTrees,calibration_FAR<=0.10,sapiagent,0,0.55,0.0,0.0
user7,T2,T2_GradientBoosting,calibration_FAR<=0.10,sapiagent,0,0.5816252721190519,0.0,0.0
user7,T2,T2_XGBoost,calibration_FAR<=0.10,sapiagent,0,0.47316035628318787,0.0,0.0
user7,T3,T3_1D_CNN,calibration_FAR<=0.10,sapiagent,0,0.36327436566352844,0.0,0.0
